ID,Intitulé emploi,ROME lib niveau 1,ROME lib niveau 2,Code ROME,Intitulé ROME,,,,,Type de contrat,Niveau emploi,Type employeur,Secteur d'activité,Effectifs de l'entreprise,,,Salaire,,Mode d'obtention,Durée d'accès,Année_diplôme,Code diplôme,Composante,Mention,Spécialité,,Filière_diplôme
58,Responsable recrutement,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,de 3 à 9,,,1000 à 1500,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210837,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DES PME ET PMO,,ECONOMIE
59,Adjoint(e) administratif(ve),SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1602,Opérations administratives,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,1000 à 1500,,A l'issue d'un stage / formation professionnelle,7 à 11 mois,2007,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES
60,Contrôleur(se),"AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX",Etudes et assistance technique,A1302,Contrôle et diagnostic technique en agriculture,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Agriculture, sylviculture et pêche",de 50 à 199,,,,,A l'issue d'un stage / formation professionnelle,Accès direct,2007,2210837,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DES PME ET PMO,,ECONOMIE
61,Juriste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",,,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2007,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES
62,Psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,1000 à 1500,,A l'issue d'un stage / formation professionnelle,4 à 6 mois,2007,2211471,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE ET NEUROPSYCHOLOGIE DU DEVELOPPEMENT ET DES FONCTIONNEMENTS COGNITIFS,,PSYCHOLOGIE
63,Conseiller(e) en environnement,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Animation d'activités de loisirs,G1202,Animation d'activités culturelles ou ludiques ,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",de 50 à 199,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
64,Employer en operations bancaires,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2500 et plus,,Candidature spontanée,Accès direct,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE
65,Adjoint(e) administratif territorial,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1607,Secrétariat,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Autres activités de service,de 10 à 49,,,1000 à 1500,,Candidature spontanée,4 à 6 mois,2007,2211455,UFR LASH,SCIENCES DE L'HOMME ET DE LA SOCIETE : ANTHROPOLOGIE,METIERS DU PATRIMOINE (ETHNOLOGIE),,ETHNOLOGIE
66,Professeur stagiaire lettres-histoire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",,,,1000 à 1500,,Réussite concours administratif,12 mois et plus,2007,2211455,UFR LASH,SCIENCES DE L'HOMME ET DE LA SOCIETE : ANTHROPOLOGIE,METIERS DU PATRIMOINE (ETHNOLOGIE),,ETHNOLOGIE
67,Commerçant(e),"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Direction de magasin de détail,D1301,Management de magasin de détail,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Autres activités de service,Pas de salarié,,,1000 à 1500,,,7 à 11 mois,2007,2212306,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : MATHEMATIQUES APPLIQUEES ET SCIENCES SOCIALES (MASS)",,,MATHEMATIQUES
68,Hotlineur,INSTALLATION ET MAINTENANCE,Equipements domestiques et informatique,I1401,Maintenance informatique et bureautique,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Information et communication,500 et plus,,,1000 à 1500,,Réseau de relations personnelles,Accès direct,2007,2210683,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES
69,Conseiller(e) emploi,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1801,Conseil en emploi et insertion socioprofessionnelle,,,,,CDD,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,de 10 à 49,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE
70,Consultant(e) environnement et développement durable,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 3 à 9,,,2000 à 2500,,Réseau de relations personnelles,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
71,Analyste financier,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1201,Analyse et ingénierie financière,,,,,CDI,,Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,,,A l'issue d'un stage / formation professionnelle,7 à 11 mois,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE
72,Coordinateur(trice) de projets,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,Réseau de relations personnelles,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
73,Technicien(ne) rivières,"AGRICULTURE ET PÊCHE, ESPACES NATURELS ET ESPACES VERTS, SOINS AUX ANIMAUX",Espaces naturels et espaces verts,A1204,Protection du patrimoine naturel ,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)",Autres activités de service,de 10 à 49,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
74,Technicien(ne) supérieur territorial,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1404,Mise en oeuvre et pilotage de la politique des pouvoirs publics,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
75,Chargé(e) de projet développement durable,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",de 200 à 499,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
76,Chargé(e) d'affaires réglementaires,INDUSTRIE,Affaires et support technique client,H1102,Management et ingénierie d'affaires,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE
77,Auxiliaire de vie scolaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2104,Éducation et surveillance au sein d'établissements d'enseignement,,,,,,,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",,,,Moins de 1000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,7 à 11 mois,2007,2211455,UFR LASH,SCIENCES DE L'HOMME ET DE LA SOCIETE : ANTHROPOLOGIE,METIERS DU PATRIMOINE (ETHNOLOGIE),,ETHNOLOGIE
78,Chargé(e) de mission bassin versant,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",,de 50 à 199,,,1500 à 2000,,Réseau de relations personnelles,7 à 11 mois,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
79,Conseiller(e) de vente,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Accueil et promotion touristique,G1101,Accueil touristique,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",,,,Moins de 1000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,12 mois et plus,2007,2210684,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,SECURITE INTERIEURE,,SCIENCES POLITIQUES
80,Chef de projet,,,,,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2007,2210683,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES
81,Assistant(e) de justice,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",,de 50 à 199,,,Moins de 1000,,Réseau de relations personnelles,Accès direct,2007,2210682,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES
82,Assistant(e) recrutement,SUPPORT À L'ENTREPRISE,Ressources humaines,M1501,Assistanat en ressources humaines,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 3 à 9,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2211470,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE SOCIALE ET DU TRAVAIL ET INGENIERIE DES RESSOURCES HUMAINES,,PSYCHOLOGIE
83,Conseiller(e) dans une agence bancaire,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1500 à 2000,,Candidature spontanée,7 à 11 mois,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE
84,Chargé(e) de recrutement,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 3 à 9,,,1500 à 2000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,12 mois et plus,2007,2211470,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE SOCIALE ET DU TRAVAIL ET INGENIERIE DES RESSOURCES HUMAINES,,PSYCHOLOGIE
85,Ingénieur de qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,Intérimaire,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 50 à 199,,,2000 à 2500,,Agence d'intérim,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE
86,Technicien(ne) supérieur territorial,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1404,Mise en oeuvre et pilotage de la politique des pouvoirs publics,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)",Autres activités de service,500 et plus,,,1000 à 1500,,Réussite concours administratif,1 à 3 mois,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
87,Assistant(e) commercial(e),"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1401,Assistanat commercial,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,Agence d'intérim,4 à 6 mois,2007,2210693,UFR Droit,DROIT ET SCIENCE POLITIQUE : REGULATIONS INTERNATIONALES ET EUROPEENNES,GOUVERNANCE ET METIERS DU POLITIQUE EN FRANCE ET EN EUROPE,,SCIENCES POLITIQUES
88,Trader sur action et produits dérivés,"BANQUE, ASSURANCE, IMMOBILIER",Finance,C1301,Front office marchés financiers,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2500 et plus,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE
89,Journaliste,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1106,Journalisme et information média,,,,,CDD,,Une entreprise privée,Information et communication,de 10 à 49,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2210328,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE DU SPORT,,DROIT
90,Evaluateur(trice) junior fabric care,INDUSTRIE,Qualité et analyses industrielles,H1505,Intervention technique en formulation et analyse sensorielle ,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2000 à 2500,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE
91,Ingénieur logiciel,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 10 à 49,,,2000 à 2500,,Organismes d'aides aux demandeurs d'emploi / services universitaires,4 à 6 mois,2007,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
92,Ingénieur consultant,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,Réseau de relations personnelles,1 à 3 mois,2007,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
93,Ingénieur débutant,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1810,Production et exploitation de systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,500 et plus,,,2000 à 2500,,Candidature spontanée,4 à 6 mois,2007,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
94,Ingénieur de qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,Intérimaire,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",,,,1500 à 2000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,12 mois et plus,2007,2210320,IAE,ADMINISTRATION DES AFFAIRES : DIRECTION DES ENTREPRISES PUBLIQUES ET PRIVEES,CERTIFICAT D'APTITUDE A L'ADMINISTRATION DES ENTREPRISES,,GESTION
95,Assistant(e) d'éducation,,,,,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,Moins de 1000,,Réseau de relations personnelles,12 mois et plus,2007,2211466,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE CLINIQUE ET GERONTOLOGIE,,PSYCHOLOGIE
96,Coordinateur(trice) de projets,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 10 à 49,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2007,2210320,IAE,ADMINISTRATION DES AFFAIRES : DIRECTION DES ENTREPRISES PUBLIQUES ET PRIVEES,CERTIFICAT D'APTITUDE A L'ADMINISTRATION DES ENTREPRISES,,GESTION
97,Coordinateur(trice) 'group hotels et social events',HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Animation d'activités de loisirs,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives",,,,,CDI,Niveau ouvrier ou employé,Une association,Autres activités de service,de 50 à 199,,,1000 à 1500,,Agence d'intérim,Accès direct,2007,2210334,IAE,"DROIT, ECONOMIE, GESTION : MARKETING ET STRATEGIE",COMMUNICATION ORGANISATIONNELLE,,GESTION
98,Ingénieur chercheur,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Recherche,K2402,"Recherche en sciences de l'univers, de la matière et du vivant",,,,,,Niveau ingénieur ou cadre,Une entreprise publique,Autres activités de service,500 et plus,,,2000 à 2500,,Réseau de relations personnelles,12 mois et plus,2007,2221719,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",RESEAUX ET SYSTEMES DISTRIBUES,,INFORMATIQUE
99,Gérant(e) SARL i2N,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1803,Direction des systèmes d'information,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Information et communication,de 1 à 2,,,,,Réseau de relations personnelles,4 à 6 mois,2007,2210320,IAE,ADMINISTRATION DES AFFAIRES : DIRECTION DES ENTREPRISES PUBLIQUES ET PRIVEES,CERTIFICAT D'APTITUDE A L'ADMINISTRATION DES ENTREPRISES,,GESTION
